game_id,drive_number,field_pos,time_remaining,is_half_one,is_half_two,UTM,score_differential,pos_team TOL,def_time TOL,result,yds_gained / 10,actual_yds_gained,field_goal_attempt,field_goal_distance
2010091901 - 2915,18,51,691,0,1,0,-27,2,3,fourth_down,2,20,0,NA
2010091901 - 2920,19,61,587,0,1,0,27,3,2,fourth_down,2,22,0,NA
2010091901 - 2927,20,80,387,0,1,0,-27,2,3,fourth_down,3,38,0,NA
2010091901 - 2940,21,62,70,0,1,1,27,3,2,end_of_half,NA,NA,0,NA
2010091912 - 2944,1,80,1800,1,0,0,0,3,3,fourth_down,0,8,0,NA
2010091912 - 2949,2,68,1729,1,0,0,0,3,3,fourth_down,3,31,0,NA
2010091912 - 2958,3,88,1513,1,0,0,0,3,3,fourth_down,2,20,0,NA
2010091912 - 2964,4,72,1331,1,0,0,0,3,3,fourth_down,0,2,0,NA
2010091912 - 2968,5,72,1266,1,0,0,0,3,3,fourth_down,5,54,1,36
2010091912 - 2986,6,69,886,1,0,0,-3,2,2,turnover,NA,NA,0,NA
2010091912 - 2989,7,35,801,1,0,0,3,2,2,fourth_down,2,23,1,30
2010091912 - 2998,8,65,579,1,0,0,-6,2,2,fourth_down,2,21,0,NA
2010091912 - 3004,9,91,427,1,0,0,6,2,2,fourth_down,0,3,0,NA
2010091912 - 3008,10,69,327,1,0,0,-6,2,2,fourth_down,1,12,0,NA
2010091912 - 3015,11,88,207,1,0,0,6,2,2,fourth_down,0,-3,0,NA
2010091912 - 3021,12,72,103,1,0,1,-6,2,2,fourth_down,1,11,0,NA
2010091912 - 3027,13,74,50,1,0,1,6,2,2,fourth_down,0,8,0,NA
2010091912 - 3031,14,79,11,1,0,1,-6,2,2,end_of_half,NA,NA,0,NA
2010091912 - 3034,15,80,1800,0,1,0,-6,3,3,touchdown,NA,NA,0,NA
2010091912 - 3043,16,80,1606,0,1,0,-1,3,3,fourth_down,1,16,0,NA
2010091912 - 3048,17,66,1465,0,1,0,1,3,3,turnover,NA,NA,0,NA
2010091912 - 3052,18,43,1368,0,1,0,-1,3,3,fourth_down,0,1,0,NA
